"","female_birthrates"
"-4018",35
"-4017",32
"-4016",30
"-4015",31
"-4014",44
"-4013",29
"-4012",45
"-4011",43
"-4010",38
"-4009",27
"-4008",38
"-4007",33
"-4006",55
"-4005",47
"-4004",45
"-4003",37
"-4002",50
"-4001",43
"-4000",41
"-3999",52
"-3998",34
"-3997",53
"-3996",39
"-3995",32
"-3994",37
"-3993",43
"-3992",39
"-3991",35
"-3990",44
"-3989",38
"-3988",24
"-3987",23
"-3986",31
"-3985",44
"-3984",38
"-3983",50
"-3982",38
"-3981",51
"-3980",31
"-3979",31
"-3978",51
"-3977",36
"-3976",45
"-3975",51
"-3974",34
"-3973",52
"-3972",47
"-3971",45
"-3970",46
"-3969",39
"-3968",48
"-3967",37
"-3966",35
"-3965",52
"-3964",42
"-3963",45
"-3962",39
"-3961",37
"-3960",30
"-3959",35
"-3958",28
"-3957",45
"-3956",34
"-3955",36
"-3954",50
"-3953",44
"-3952",39
"-3951",32
"-3950",39
"-3949",45
"-3948",43
"-3947",39
"-3946",31
"-3945",27
"-3944",30
"-3943",42
"-3942",46
"-3941",41
"-3940",36
"-3939",45
"-3938",46
"-3937",43
"-3936",38
"-3935",34
"-3934",35
"-3933",56
"-3932",36
"-3931",32
"-3930",50
"-3929",41
"-3928",39
"-3927",41
"-3926",47
"-3925",34
"-3924",36
"-3923",33
"-3922",35
"-3921",38
"-3920",38
"-3919",34
"-3918",53
"-3917",34
"-3916",34
"-3915",38
"-3914",35
"-3913",32
"-3912",42
"-3911",34
"-3910",46
"-3909",30
"-3908",46
"-3907",45
"-3906",54
"-3905",34
"-3904",37
"-3903",35
"-3902",40
"-3901",42
"-3900",58
"-3899",51
"-3898",32
"-3897",35
"-3896",38
"-3895",33
"-3894",39
"-3893",47
"-3892",38
"-3891",52
"-3890",30
"-3889",34
"-3888",40
"-3887",35
"-3886",42
"-3885",41
"-3884",42
"-3883",38
"-3882",24
"-3881",34
"-3880",43
"-3879",36
"-3878",55
"-3877",41
"-3876",45
"-3875",41
"-3874",37
"-3873",43
"-3872",39
"-3871",33
"-3870",43
"-3869",40
"-3868",38
"-3867",45
"-3866",46
"-3865",34
"-3864",35
"-3863",48
"-3862",51
"-3861",36
"-3860",33
"-3859",46
"-3858",42
"-3857",48
"-3856",34
"-3855",41
"-3854",35
"-3853",40
"-3852",34
"-3851",30
"-3850",36
"-3849",40
"-3848",39
"-3847",45
"-3846",38
"-3845",47
"-3844",33
"-3843",30
"-3842",42
"-3841",43
"-3840",41
"-3839",41
"-3838",59
"-3837",43
"-3836",45
"-3835",38
"-3834",37
"-3833",45
"-3832",42
"-3831",57
"-3830",46
"-3829",51
"-3828",41
"-3827",47
"-3826",26
"-3825",35
"-3824",44
"-3823",41
"-3822",42
"-3821",36
"-3820",45
"-3819",45
"-3818",45
"-3817",47
"-3816",38
"-3815",42
"-3814",35
"-3813",36
"-3812",39
"-3811",45
"-3810",43
"-3809",47
"-3808",36
"-3807",41
"-3806",50
"-3805",39
"-3804",41
"-3803",46
"-3802",64
"-3801",45
"-3800",34
"-3799",38
"-3798",44
"-3797",48
"-3796",46
"-3795",44
"-3794",37
"-3793",39
"-3792",44
"-3791",45
"-3790",33
"-3789",44
"-3788",38
"-3787",46
"-3786",46
"-3785",40
"-3784",39
"-3783",44
"-3782",48
"-3781",50
"-3780",41
"-3779",42
"-3778",51
"-3777",41
"-3776",44
"-3775",38
"-3774",68
"-3773",40
"-3772",42
"-3771",51
"-3770",44
"-3769",45
"-3768",36
"-3767",57
"-3766",44
"-3765",42
"-3764",53
"-3763",42
"-3762",34
"-3761",40
"-3760",56
"-3759",44
"-3758",53
"-3757",55
"-3756",39
"-3755",59
"-3754",55
"-3753",45.8710755831223
"-3752",55
"-3751",44
"-3750",43
"-3749",40
"-3748",47
"-3747",51
"-3746",56
"-3745",49
"-3744",54
"-3743",56
"-3742",47
"-3741",44
"-3740",43
"-3739",42
"-3738",45
"-3737",50
"-3736",48
"-3735",43
"-3734",40
"-3733",59
"-3732",41
"-3731",42
"-3730",51
"-3729",49
"-3728",45
"-3727",43
"-3726",42
"-3725",38
"-3724",47
"-3723",38
"-3722",36
"-3721",42
"-3720",35
"-3719",28
"-3718",44
"-3717",36
"-3716",45
"-3715",46
"-3714",48
"-3713",49
"-3712",43
"-3711",42
"-3710",59
"-3709",45
"-3708",52
"-3707",46
"-3706",42
"-3705",40
"-3704",40
"-3703",45
"-3702",35
"-3701",35
"-3700",40
"-3699",39
"-3698",33
"-3697",42
"-3696",47
"-3695",51
"-3694",44
"-3693",40
"-3692",57
"-3691",49
"-3690",45
"-3689",49
"-3688",51
"-3687",46
"-3686",44
"-3685",52
"-3684",45
"-3683",32
"-3682",46
"-3681",41
"-3680",34
"-3679",33
"-3678",36
"-3677",49
"-3676",43
"-3675",43
"-3674",34
"-3673",39
"-3672",35
"-3671",52
"-3670",47
"-3669",52
"-3668",39
"-3667",40
"-3666",42
"-3665",42
"-3664",53
"-3663",39
"-3662",40
"-3661",38
"-3660",44
"-3659",34
"-3658",37
"-3657",52
"-3656",48
"-3655",55
"-3654",50
